prompt,cfg,step,seed,image_name,part_id,concept_type,clip_score
"a beautiful painting of a spaceship crossing the nebula by nekro and pascal blanche and syd mead and greg rutkowski and sachin teng and victo ngai and simon stalenhag and chris voy. in style of cg art. ray tracing, cel shading, 3 d. ue 5. hyper detailed. realistic. maya. octane render. ",7.0,50,2378325900,9141fe63-15ec-4547-8a68-d0aabb25af20.png,1,object,0.2753
"an hyperrealistic detailed face portrait of a female fantasy angel, gothic cathedral church, by alex ross / wlop / peter mohrbacher, dramatic lighting, gorgerous, moody, directional lighting, cool beauty, spooky, mystery, cold eyes, volumetric lighting :. 3, trending on pixiv and pinterest ",15.0,50,4191037881,96d1dac1-6b02-40dc-ad2b-77b1414f9a96.png,6,character,0.2759
"ufo attacking an ancient city, photo of a 1 5 th century codex book, 8 k ",19.0,50,2908354555,0e0fd57e-40d9-444a-83ab-74300ac8a5ce.png,3,scene,0.3288
"painted closeup portrait of snake man, masculine, fierce, charming, fantasy, intricate, elegant, extremely detailed digital painting sharp focus illustration art by alphonse mucha by chuck close, charcoal on canvas ",11.0,50,947434695,c64051dd-92ca-4155-8d0c-43c5843ee790.png,1,character,0.2792
"photo of a white fashion jewelry store, professional photographer ",7.0,50,3276797527,40353416-2ebd-48ae-8fe9-d79a3546648a.png,3,object,0.2938
"portrait of a beautiful woman with horns, large piercing blue eyes, long wavy black hair, long black dress with silver jewels, black bat wings on back, detailed background, by tom bagshaw ",7.0,50,2189423456,bc79d88b-e92b-4c43-a6e8-644bf90cec57.png,2,character,0.3435
"portrait of saitama, artstation winner by victo ngai, kilian eng and by jake parker, by conrad roset, swirly vibrant color lines, winning award masterpiece, fantastically gaudy, aesthetic, cinematic, octane render, 8 k, hd resolution ",15.0,50,1088739493,62503a12-331a-40f6-9a38-609f43354ff1.png,1,character,0.3999
"two vipers entwined, fighting to the death realistic cinematic 3 5 mm ",7.0,50,1132934917,c60ab6f6-3118-4da8-a244-90dce73365b1.png,1,object,0.3039
"a sci - fi cyberpunk rollercoaster, cinematic, dramatic, high - speed photograph ",7.0,50,2235576385,6e1ea7f6-7953-4f7b-b303-f0caad975c4e.png,2,object,0.2816
old polaroid photograph of satan inside the white house ,7.0,50,250559023,ec652b92-cbd2-4b3c-8bd3-5edfb6eaff6f.png,5,object,0.3378
"grand canyon on the moon, digital art, illustration, 4 k, 8 k ",7.0,50,3552315316,9d69b885-c040-403e-b4e6-367d00bba3d5.png,2,object,0.2649
"anthropomorphic spider navy captain, ferocious, spiderlings armor, saber weapon, fantasy garden forest background, by greg rutkowski and frank frazetta, intricate, artstation, vibrant, cinematic, style of magic : the gathering ",9.0,50,85352244,0ff693e2-00d3-491e-a9a0-47dee3a3262f.png,5,scene,0.2838
"a futuristic minimalistic utopia in the clouds, tim hildebrandt, wayne barlowe, bruce pennington, donato giancola, trending on artstation, cinematic composition, beautiful lighting, hyper detailed, 8 k, oil on canvas ",15.0,50,2931600442,90709538-02e6-44a3-bc96-eeddf35547c6.png,6,object,0.3206
"byzantine gothic ashura, highly detailed, portrait, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",7.0,50,2407765898,13e3f577-e44f-4d4e-a2af-89c7106dc81c.png,5,character,0.3249
"arcane concept art beautiful female scientist with ears holding spherical black hole in her hand, long purple hair, blue eyes, art by charles liu, perfect angle, fantasy style, vibrant colour scheme, ultra detailed, volumetric lighting, octane render, commission art ",9.0,50,1661465083,9a854587-a6fd-4b2d-b574-dd4a14218f66.png,6,object,0.3259
1 0 0 frogs digital art ,7.0,50,368718460,d8e341c5-86a6-4213-8cd4-edf5711c5064.png,1,object,0.357
"hyperborean priestess with long neck and geometric headdress and mask, low poly, boho style, rich wooden jewerly, concept art, abstract background, by boris vallejo, deak ferrand, and greg rutkowski and rhads ",7.0,50,1143122877,cc440e59-3066-4533-bd94-6f833959da2e.png,1,object,0.3178
a cyberpunk silkscreen pop art portrait ,1.0,50,3991975308,2c5f47ee-193e-4a27-a5d4-40e3a1c6fc68.png,2,character,0.3235
"people in mall with ghosts, apocalypse, colorful, in the style of frantisek kupka, intricate, miles johnston, cynical realism, john william godward, painterly, yoshitaka amano, miles johnston, louise zhang, pekka halonen, finnish naturalism, realism, realist style, cynical realism, magnus enckell, jean ",7.0,50,4006618615,107decd1-c496-4dca-8baf-4728ad47033f.png,6,object,0.2482
"symmetry!! a tiny cute chinese spring festival oriental tale mascot cat - lion toys, magic, intricate, smooth line, light dust, mysterious dark background, warm top light, hd, 8 k, smooth ， sharp high quality artwork in style of greg rutkowski, concept art, blizzard warcraft artwork, bright colors ",14.0,50,1351398017,6d491bd5-8d06-41c5-832d-39f3af396623.png,1,character,0.3496
"school girl slipped in the school bathroom - dramatic cozy portrait poster by wlop and okuda genso. featured on pixiv, anime aesthetic. pixiv, warm aesthetic, rays of light, volumetric light, artstation, vanitas, official art, gothic, noise film photo. octane render, redshift render, ue 4 ",5.0,50,2266864600,42099f0c-251a-49a9-938a-308fe9268267.png,2,character,0.2952
"closeup profile face portrait of tin toy bride of frankenstein eating cakes in the laboratory, nicoletta ceccoli, mark ryden, lostfish, max fleischer, detailed and intricate fairytale environment, hyper realistic, artstation, illustration, digital paint, matte paint, vivid colors, bright, cheerful, ",7.0,50,4127483290,f6748dcf-0aa4-48d1-8a9d-f85b7005026f.png,6,character,0.2948
"a mechanical human arm sticking out of the earth, covered in flowers and vines. rays of light shinning down, dust specks, unreal engine ",7.0,50,636992599,47b94d73-0722-456d-a512-ee703cdf2852.png,5,object,0.2956
"portrait of cortana, robot steampunk, floral! horizon zero dawn machine, intricate, elegant, highly detailed, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha, 8 k ",13.0,50,1208131751,0996322c-c817-4444-a2f8-661cfe6f495f.png,6,character,0.3471
"adorable anime bunny, eating a carrot, pastel colors ",7.0,50,373861911,49904b5e-1603-43b2-80f4-d1ca9169f92d.png,1,object,0.3363
extreme long shot of cute polarbear baby on an ice floe in the middle of the ocean ,7.0,50,4099155449,bea947cd-af2b-4efb-8abd-926a55debe14.png,4,scene,0.3195
"a painting by edward hopper of a group of people all excited about one entity, it was so clear and vibrant that it made the lightbulb seem brighter and the personage at the top was the most striking. ",6.0,50,1012841276,73383f78-043e-47f7-a373-591667172a13.png,1,object,0.2979
"a blue - eyed black siamese cat wearing a bowtie, by makoto shinkai, greg rutkowski, artstation, high detailed, cgsociety, ",7.0,50,2352525953,0a92c66e-4671-4b1c-a918-e636bb8ad842.png,1,character,0.3461
"painted closeup portrait of tree man, masculine, fierce, charming, majestic, fantasy, intricate, elegant, extremely detailed digital painting, concept art, sharp focus illustration art by alphonse mucha by chuck close, charcoal on canvas ",15.0,50,1725538957,4fcc6ce7-6237-4f59-b6b8-7f4b01f8ec5e.png,1,character,0.2592
paul chuckle bowling on a wrecked pirater ship in a storm ,7.0,50,1095276437,ebb3a7bf-a53d-4e26-939d-bed48d9e1e86.png,5,object,0.3902
landscape ; eileen agar ; surrealism ; ,7.0,50,1297673182,ef13abff-3b65-4fa5-ba21-272010c61190.png,3,scene,0.3087
"still life, letters, inks, vintage, antique, 1 7 th century male ring with emerald, silver, snake, dark academia, photorealistic, soft lighting, cinematic, detailed ",7.0,50,2800144095,7aab4f02-099d-452b-ae8d-79c9510c6b30.png,5,object,0.2437
"a small ocean full of life, studio lighting, golden ratio, details, masterpiece, fine art, intricate, decadent, ornate, highly detailed, digital painting, octane render, ray tracing reflections, 8 k, artstation, concept art, smooth, sharp focus, illustration, art by claude monet and vincent van gogh and van eyck ",17.0,50,1302557547,9f75b6b2-1333-43d5-b9da-3ba73cfb946e.png,4,scene,0.2525
"painted closeup of medieval fantasy cute kittens fighting dog puppies, fantasy medieval battlefield, fantasy intricate elegant extremely detailed digital painting trending artstation concept art sharp focus illustration art by gustave courbet greg rutkowski craig mullins ",7.0,50,989549995,ffccf574-19fb-422c-a619-e3a6a9b28b10.png,5,character,0.3439
"portrait of a dancing eagle woman, blonde haired lakota sioux goddess, 1 1 1 1, corn, wildflowers, intricate, engulfed in funkadelic aura, surreal illustration, kelis, alphonse mucha, rhads, ross tran, artstation, artgerm, octane render, 1 6 k, ",9.0,50,527134476,56dbd8a9-cc50-459d-b3cf-a005851693bc.png,2,character,0.202
"cyberpunk coral emperor, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",7.0,50,2814244024,dda042ea-319c-47ce-b59f-1e8606b6516e.png,2,object,0.2931
"low quality flash photograph of inside of a dreamy nightmare, liminal space, creepy dark lighting ",7.0,50,3921586206,8460e2b6-cbe5-4d2f-9a53-82a517753ceb.png,2,scene,0.2879
"black crowned crane drinking champagne in a restaurant by greg rutkowski and thomas kinkade, trending on artstation, 3 d render octane ",7.0,50,2368529845,f50bd4b7-04df-41dd-b756-48770eef54e2.png,2,object,0.3463
"a painting of ciri from the witcher by james jean, dark fantasy art, high detail, trending on artstation ",7.0,50,103935285,dd3b4046-a6bb-4bf9-bba4-f0ee0900d62a.png,6,object,0.3441
"grand master flash surrounded by starlight star bright, moon behind, chinese fantasy, intricate complexity, elegant, hyper detailed, scattered diffusion, ultra definition, photoreal, artstation, unreal engine rendered, concept art, smooth, sharp focus, illustration, art by artgerm and pendleton ward and alphonse mucha and garis edelweiss ",7.0,50,2098311384,279329a8-845a-40a6-af42-1bb8511b014e.png,6,object,0.3143
"art by brian reedy, a beautiful black ink linocut print of the giant cactus forest baja mexico, 8 k, frostbite 3 engine, cryengine, ground level shot, dof, trending on artstation, digital art, crepuscular ray ",10.0,50,1088751462,86073790-e309-4e34-9e87-d11834e62c64.png,5,scene,0.3583
photo of dream car in front of dream shack ,7.0,50,2642908313,4ca76318-117e-44fb-b980-2df531474731.png,6,object,0.2933
"by concept artists at 3 4 3 industries, mcu, weta, bungie ",7.0,50,204901327,d9d4f3dc-37f3-460d-b844-1181065eb039.png,1,object,0.294
"a portrait of thanos by annibale carracci in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, ",16.0,50,2443519849,a4db056d-6a5f-48c7-b3c0-fae5558516e9.png,2,character,0.3249
"a portrait of the dwayne johnson, art by annibale carracci in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, ",16.0,50,3135245829,778785e5-40e7-4903-bfe7-6f505590be4e.png,2,character,0.3996
"cyberpunk coral rockstar, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",7.0,50,2833350861,46b85ac1-2e31-46de-91c2-c7d0a6d93333.png,3,object,0.2818
"john singer sargent maxfield parrish, greg manchess, mucha ",7.0,50,298803127,32f9a5e6-93f5-415c-99a3-f08f3e604ef0.png,1,object,0.3093
"breaking moon as seen from the surface of the moon, highly detailed, digital art, illustration, cinematic, 4 k, 8 k ",7.0,50,3457989442,0d316ddf-79b0-4657-81b6-8734783e21f6.png,2,object,0.3124
"adolf hitler!!! figurine!!!, studio lighting, grey background, no shadow, trending on artstation, 4 k, highly detailed!!! ",8.0,50,629040185,82000b0c-3744-4735-97bf-ececa851783b.png,6,object,0.3517
"photo of jungle whimsical fairy wonderland vibrant colors candyland wonderland by artgerm and greg rutkowski and magali villeneuv art beeple, by thomas kinkade hearstone league of legends dofus beatrix potter ",7.0,50,3016920413,b00dcaa7-962a-481a-820b-e0dc216af63b.png,6,object,0.3028
a portrait painting of linda hindbaugh ,7.0,50,41184119,d00e980e-2250-4622-b95f-b7c5405e7b23.png,5,character,0.3461
"close up of a nostalgic cute laughing cat button, concept art, symmetrical, sticker vinyl decal, artgerm, trending on artstation ",15.0,50,4106023756,10b7b89f-d430-4035-a86f-ff3b5eab787f.png,2,character,0.3209
movie still of the joker on american psycho ( 2 0 0 0 ) ,7.0,50,2867445873,06d2967c-8b13-460d-b2ba-ca4902201cfd.png,1,object,0.3143
"biohazard tsuyu asui bioshock art an ultrafine detailed painting, detailed painting, detailed eyes!!, final fantasy octopath traveler lovecraft ghibly ",18.0,50,757987365,b27e77d9-fb3d-4808-9a72-87756c43b7da.png,5,object,0.3075
"detailed symmetry!!, ( astronaut with purple closed visor ), deep inside space with small twinkling stars, by artgerm and charlie bowater and chris rallis, dark age aether punk style, global illumination, radiant light, god rays, bokeh, digital illustration, cg society, unreal engine 5, ray tracing ",7.0,50,2405438075,34270458-0657-4aaf-acb4-9b7402cda8ef.png,2,character,0.3089
"nebula, dreamy, galaxy environment, colors, film, dramatic, cinematic, highly detailed, large scale, realistic lighting, octane render, by wlop, artgerm, by vladimir motsar, high quality, trending on artstation, hd, 8 k, clear, sharp ",11.0,50,4259635334,5527063a-7e97-4096-87a7-60ed50ed8bc3.png,4,object,0.3387
"beautiful garden at twilight by nicholas roerich and jean delville and maxfield parrish, glowing paper lanterns, strong dramatic cinematic lighting, ornate tiled architecture, lost civilizations, smooth, sharp focus, extremely detailed ",8.0,50,2148055930,f61c6b4a-7d9b-417e-b5af-80978f901037.png,1,scene,0.2907
"the birth of a star in galaxy, in style of john harris, watercolor, artstation ",10.0,50,1353169059,f6ff229a-4f98-4148-b3b8-0dbd1da0eaef.png,1,object,0.3492
astronaut doing the moon walk backwards by james jean ,15.0,50,3845976520,523824aa-5207-429c-9b73-8a663f3bf4c6.png,6,character,0.315
a retro minimalistic question mark on fire enamel pin ,12.0,50,1017902091,ab458e1a-1d1b-47b2-b42e-4fc0a5ff01b2.png,2,object,0.3422
"gothic aztec moon, highly detailed, portrait, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",7.0,50,472315474,925d8f45-aa71-4332-9e9a-727e449c95e3.png,4,character,0.3302
"photo manga illustration blueprint of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, vulcan render artstation artstation artstation artstation artstation artstation ",7.0,50,3685331424,71ea0e92-bac1-4015-9b07-c5599c2f11b4.png,3,object,0.3139
"a mechanical planet, in the background of a space war of spaceships and many exploding trees, steampunk, clockpunk, bibliopunk, black and yellow ",16.0,50,1168460873,eca90b77-6a58-4f10-a2ba-07322efa1cfe.png,4,scene,0.2715
"hyperborean priestess with long neck and geometric headdress and mask, low poly, boho style, rich wooden jewerly, concept art, abstract background, by boris vallejo, deak ferrand, and greg rutkowski and rhads ",7.0,50,3324984582,d1d56edc-8a87-4d82-acf8-db2d37e1a14b.png,1,object,0.3109
"hyperdetailed portrait of beautiful queen's moth armored girl. highly detailed portrait, digital painting, sharp foccus ilustration, artstation hq. intricate, elegant. wlop, greg rutkowski, alphonse mucha,. dan mumford, rossdraws, marc simonetti. background by repin. abstract collage. full height. louise zhang. impressionism. decollage ",7.0,50,1742880098,2ef9b81c-9ef4-4e94-8b36-b8953c66c095.png,4,character,0.2941
"movie still, film screenshot, noir drama city 1 9 7 0 s ",7.0,50,2823644751,384cc234-579e-421c-8e08-38faae48679d.png,2,scene,0.3263
"portrait of an handsome demon, d & d, intricate, thoughtful, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha ",13.0,50,1722264649,f6b74913-aca8-483c-ad5b-5acb123e0a63.png,2,character,0.3067
a photo of a snow owl! and grizzly bear hybrid creature concept anotated decal ,10.0,50,29886913,4e853d31-79af-404f-86e3-8ee0cc6d8b06.png,2,character,0.2853
"a man with a chin - style dark brown beard without mustache in a dark black cap, green turtleneck, purple pants and super white sneakers in full height, perfect face, mark vanderloo face, photography, ultra detailed, sharp focus, perfect eyes ",16.0,50,2790554235,cb2681bd-fbb2-4578-835f-276cc1911495.png,5,character,0.1901
"mount epic antoran hounds screenshot world of warcraft mounts worldboss bioluminecant light concept sketch art and by feng zhu alena aenami artworks in 4 k beeple, by thomas kinkade heartstone overwatch blizzard 3 d rtx hdr ",7.0,50,875642168,e6a969e3-dc66-439c-ab11-1a790f84e13f.png,1,scene,0.3074
"photoreal portrait very intricate! darkwar hunter wearing a black hoody, white glossy class - a surfaces, glittering light leaks, electromagnetic waves, blue glowing aggressive led eyes, zbrush, greeble skin, octane render, colani design, cyberpunk, dystopia tokyo ",16.0,50,3782131699,b8b4ef10-5af1-4c1f-9a4b-8e55ad845cf3.png,5,character,0.275
"broken diamond reflecting, realistic ",7.0,50,1214494579,b700a280-0e78-4d02-95b1-f526503e5c6b.png,3,abstract,0.2848
"portrait of hybrid animal, cross between white lion and tabby cat with long fur, with fluffy fur blowing in the wind, three quarter side profile view, wearing a tribal headdress of peacock feathers and flowers, detailed painting, 4 k, magical realism, ",7.0,50,389660101,3e21b0d1-c726-46ff-8add-1fa5a8be947c.png,4,character,0.3293
nativity by the sea ; henry ossawa tanner ; cubism ; c. 1 9 1 7 ,7.0,50,3906275638,02daee04-6894-4860-931e-b5f4cd45707a.png,3,scene,0.2996
"cologne cathedral sourrounded by city, birds eye view, night, landscape, sky, volumetric lighting, 8 k octane beautifully detailed render, post - processing, extremely hyper - detailed, intricate, epic composition, intricate, trending on artstation, stunning art by frazetta, wonderful masterpiece by karine villette ",7.0,50,2404584062,fdb10830-713e-4007-bda7-ba4f9a09b0c8.png,2,scene,0.3214
"cute fluffy baby lop eared bunny cat hybrid mixed creature character concept, with long flowing mane blowing in the wind, long peacock feather tail, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ",7.0,50,3063085435,55b99ecc-b7b6-4e4f-b489-119342a325f9.png,2,character,0.2916
"symmetry!! a tiny cute chinese spring festival oriental tale mascot peacock - lion toys, magic, intricate, smooth line, light dust, mysterious dark background, warm top light, hd, 8 k, smooth ， sharp high quality artwork in style of greg rutkowski, concept art, blizzard warcraft artwork, bright colors ",14.0,50,230833338,1ffac200-a32f-4a8f-a24d-63f51926b282.png,1,object,0.2652
portrait of enzo amore ,7.0,50,3483291157,d699dbce-963c-4726-abf7-234ee2751a26.png,5,character,0.2995
"a guy sitting in a window looking out at space : : anime, ufotable studio art style, ufotable, moebius, small details, smooth, magical aesthetic, fantasy aesthetic, sparkles, 4 k, hd, ",7.0,50,862649497,7c1577b2-4c8e-4dbf-8386-c87b9236eeab.png,5,scene,0.37
polar bear baby in the middle of the ocean on an ice floe ,7.0,50,2359592107,c9ec87f6-79c3-4398-ae59-533241e88f47.png,4,scene,0.3131
"portrait of butterflies swarming flowers. shadow and light. rays of light. energetic, dynamic, lively, detailed, intricate, complex. fine art by hayao miyazaki, akira toriyama, makoto shinkai, and ohara koson. studio lighting. tilt and shift lens. ",7.0,50,3898831598,eecf10cb-5933-4ea0-b17e-6153c36f7fb5.png,6,character,0.2772
"close - up of nicolas sarkozy, face, high quality, natural texture, noir, photography, cinestill 3 5 mm, detailed face, by antoine d'agata, by chris cunningham ",13.0,50,1758330564,81e7ce34-363c-4af8-af4d-5cbd5ff90777.png,5,character,0.3553
"a stunning portrait of an asian samurai with long black hair by artgerm, dynamic lighting, ray tracing, tom bagshaw, alphonse mucha, donata giancola, mary jane ansell, ankh necklace, atmosphere, realism, octane render, dof, hyperdetailed, 8 k ",7.0,50,2485399582,454d7550-a6cf-4896-befb-e2449b281265.png,1,character,0.3199
"low - fi color analog photography. a liminal space. hot topic store at the mall. cheap film set. strange, nonsensical, unsettling, infinite, recursive. ",7.0,50,3031883131,86979ea0-ad5f-4c30-891b-59200f71a360.png,5,scene,0.2853
"textless logo design. a hand, a planet, and a dove. pastel colours with a black background. screen print. textless. ",7.0,50,2876902544,c9b2e830-0b7e-4c74-9061-7e508c5c095e.png,5,scene,0.2864
"a beautiful very detailed render of nature train station urbex architecture by camille pissarro, futuristic hyperrealism retro sunset otherworldly nightvision anime nature dieselpunk azeroth darkacademia synthwave thermal vision, archdaily, wallpaper, highly detailed, trending on artstation. ",15.0,50,853028904,92c488a0-4297-45c1-a001-76aee6399d30.png,1,scene,0.3174
"tattoo design art, neo traditional snake, finley detailed, japanese traditional inspired, by jeff gogue by nekro borja ",7.0,50,389144834,7bb4ed0f-58aa-47ce-aef9-52bed4db2ffd.png,2,object,0.3654
"lion with long flowing mane dressed in king robes with crown, detailed oil painting 4 k ",7.0,50,1014553774,9f59c82f-7404-4428-b06b-c896a7d96305.png,4,character,0.2871
"street photography by saul leiter, in a new york muddy alley, award winning photo of an ultra detailed intricate dirty vintage ford car speeding very fast on mud, fast shutter speed, motion blur, tiny gaussian blur, highly detailed, highly intricate, depth of field, trending on top gear ",7.0,50,3080365743,a83f0c84-6c99-4954-bdf0-51fa94b9e776.png,4,scene,0.3055
"cute fluffy baby lion giraffe hybrid mixed creature character concept, with long flowing mane blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ",7.0,50,3193438571,c5b69f26-4bcb-459e-b458-f476719b1676.png,3,character,0.3035
"photo illustration comics manga painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, fantasy, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting ",7.0,50,1732026299,4702801f-3dce-4642-9e9e-235ecb57edde.png,3,object,0.3417
"a portrait of girl magician, witch hat, silver magic, smiling, gold necklace, fantasy, dungeons and dragons, an ultrafine detailed painting, chibi, detailed painting, boris valejo. octopath traveler decal!!! ",18.0,50,1133473529,9edfc03b-b9ea-4bea-b59c-72781cf08c0f.png,2,character,0.3582
a photo of a bear head on a giraffe body ,7.0,50,2083897273,acb5faa8-2ce9-49af-9912-daab972dfbbb.png,4,object,0.3131
"by john harris, artstation, cgsociety ",7.0,50,3845562746,af72c59b-d8ee-4cad-8e29-3c8d5cc60488.png,1,abstract,0.2711
"infinite time, beautiful landscape, environment, colors, cinematic, highly detailed, large scale, realistic lighting, octane render, by wlop, artgerm, by vladimir motsar, high quality, trending on artstation, hd, 8 k, clear, sharp ",11.0,50,2278151864,24764e1d-48c2-4b80-9871-24e04b5559d5.png,4,scene,0.2995
"a man thinking about stabbing an avocado, very detailed eyes, highly detailed, very beautiful face, by greg rutkowski, wlop, alphonse mucha ",5.0,50,4208232131,5651318d-7a29-4550-857d-150aa2266d91.png,2,character,0.2366
"a mechanical planet, in the background of a space war of spaceships and many exploding details, steampunk, clockpunk, bibliopunk ",14.0,50,3019427557,d43368ff-925a-4bd4-a32e-40564d581f57.png,4,scene,0.3011
"a beautiful painting of a pyramid on the moon by nekro and pascal blanche and syd mead and greg rutkowski and sachin teng and victo ngai and simon stalenhag and chris voy and tsutomu nihei. in style of cg art. ray tracing, cel shading, 3 d. ue 5. hyper detailed. realistic. maya. octane render. ",7.0,50,1502516,842bfe43-0651-4424-bccf-e965264e2dc2.png,2,object,0.3311
a painting by edward hopper of a bird with a staff ,6.0,50,116528629,ead61f30-ce26-4a69-a2fb-e269524b1840.png,1,object,0.3586
concept art of royal quest rpg by katauri ,7.0,50,1038845987,6c685787-67cc-4e00-a632-e5daaa89cdda.png,4,object,0.2874
"hyperdetailed portrait of beautiful armored girl, digital painting, sharp foccus ilustration, artstation hq. intricate, elegant. wlop, greg rutkowski, alphonse mucha,. dan mumford, rossdraws, marc simonetti. incredible background by repin. louise zhang. decollage. rick owens maison margiela clothing ",7.0,50,3800577148,6e14f214-4f69-4047-8106-ed513d8a9ed0.png,4,character,0.2993
